id,component,ai_response_id,label,error_category,notes,labeled_at,relabel_round,meeting_text,meeting_date,procedure_id,procedure_title,match_confidence,matched_alias,org_stub_name,org_candidate_name,org_country,org_category,org_fuzzy_score,source_table
,procedure,af575d8d-69c7-4fd7-8946-4052a931427b,correct,,auto:Meeting explicitly discusses the DSA.,2026-05-04T07:26:25.946683+00:00,1,"Digital Services Act (DSA), Digital Markets Act (DMA)",2021-04-16,2020/0361(COD),Digital Services Act,0.9,,,,,,,lobbying
,procedure,3ceb9978-6af7-43e2-8aca-716a200cb955,correct,,auto:Meeting explicitly discusses the Clean Industrial Deal.,2026-05-04T07:26:25.946683+00:00,1,"Clean Industrial Deal and Circular Economy Act. - Called for internal European market for secondary raw materials
- Collective quality criteria and standards
- Raised the issue for secondary raw materials being more expensive than virgin ones
- Called for concrete measures to make secondary raw materials economically attractive
- Welcomed recycle",2025-02-13,2025/2656(RSP),Clean Industrial Deal,0.9,,,,,,,commission
,procedure,f6afd24e-3323-4a36-9469-98dc117c6f43,correct,,auto:Round-table on Digital Euro matches the procedure establishing it.,2026-05-04T07:26:25.946683+00:00,1,Round-Table on Digital Euro (with EVP Dombrovskis and DG FISMA),2023-03-28,2023/0212(COD),Establishment of the digital euro,0.9,,,,,,,commission
,procedure,4435407a-50db-4c1f-baa7-f9f7aa53399b,correct,,auto:Meeting explicitly discusses the DMA.,2026-05-04T07:26:25.946683+00:00,1,Digital Markets Act (DMA) and interoperability,2021-02-04,2020/0374(COD),Digital Markets Act,0.9,,,,,,,lobbying
,procedure,490d91e7-ce59-4cbf-85e8-5b4a88fc037c,wrong,wrong_version,"auto:Meeting discusses Solvency II Review broadly along with Basel III and CMDI; the 2021/0295 file is the Solvency II review specifically, but the meeting is in Dec 2020 before this proposal and covers multiple files generically.",2026-05-04T07:26:25.946683+00:00,1,"Introduction, Review Solvency II & Implementation Basel III, Review Crisis Management Framework",2020-12-03,2021/0295(COD),"Amending Directive 2009/138/EC as regards proportionality, quality of supervision, reporting, long-term guarantee measures, macro-prudential tools, sustainability risks, group and cross-border supervision",0.9,,,,,,,commission
,procedure,e2c9a95c-72bf-46a7-8238-c33ef350d1a5,correct,,auto:Discusses the upcoming revision of PPWD which became this proposal.,2026-05-04T07:26:25.946683+00:00,1,Upcoming revision of the Packaging and Packaging Waste Directive. This meeting was taken by an assistant.,2022-10-13,2022/0396(COD),Packaging and packaging waste,0.9,,,,,,,lobbying
,procedure,fc4168a0-8b73-40cd-8812-6a93b267676f,wrong,too_generic,"auto:Meeting is about EU-US relations post-Munich/Ukraine, not the specific INI report.",2026-05-04T07:26:25.946683+00:00,1,Exchange of views on latest developments in EU-US relations.. An exchange of views took place on latest developments following the Munich Security Conference and the future of transatlantic support for Ukraine. The Atlantic Council representatives presented their analysis of the new US administration agenda concerning Ukraine. Members of Cabinet Kos informed a,2025-02-18,2023/2126(INI),EU-US relations,0.9,,,,,,,commission
,procedure,94520014-0ff9-46c6-8124-1abc4e67563b,correct,,auto:Meeting explicitly about Clean Industrial Deal matches the procedure.,2026-05-04T07:26:32.958077+00:00,1,"Clean Industrial Deal, Affordable Energy and Energy Efficiency",2025-02-28,2025/2656(RSP),Clean Industrial Deal,0.9,,,,,,,lobbying
,procedure,18c4cfed-e547-42a9-b01d-a6f69befb4ee,correct,,auto:Meeting title directly references the Critical Medicines Act.,2026-05-04T07:26:32.958077+00:00,1,Critical Medicines Act (CMA),2026-01-13,2025/0102(COD),Critical Medicines Act,0.9,,,,,,,lobbying
,procedure,bed8ca33-c033-463f-b6bf-f01eb58f9605,correct,,"auto:Meeting explicitly discusses PPWR implementation, which is this procedure.",2026-05-04T07:26:32.958077+00:00,1,"Industrial Policy – Circular Economy. - Discussion regarding the implementation of the PPWR (which entered into force in February 2025) and level playing field.
- General exchange of views on the EU bioeconomy Strategy, namely on the investments part
- Discussion on the Circular Economy Action Plan",2025-05-15,2022/0396(COD),Packaging and packaging waste,0.9,,,,,,,commission
,procedure,d24be33b-1bbd-48c8-b59c-e73887135bdd,correct,,auto:Meeting explicitly mentions CBAM as a discussion topic.,2026-05-04T07:26:32.958077+00:00,1,"Industrial Accelerator Act and Circular Economy Act. - Apple: Goal to become carbon neutral across their value chain (reduce emissions by 75% by 2030; 90% by 2050)
- ResourceEU, CBAM
- Recycling and circular economy as a priority
- Challenges in the context of recycling materials
- Competition between r ecycled materials and primary materials
- Apple:",2025-12-09,2021/0214(COD),Carbon Border Adjustment Mechanism,0.9,,,,,,,commission
,procedure,5a2f492c-397a-4902-b9e6-10b48415d050,wrong,too_generic,"auto:Meeting is a general discussion on methane emissions and global pledges, not specifically the energy sector methane regulation.",2026-05-04T07:26:32.958077+00:00,1,"Methane. Meeting was held at the request of Clean Air Task Force (CATF) to discuss methane emissions in the EU and globally. CATF stressed the key role of methane emissions reduction to achieve EU and global climate objectives , highlighting the importance of EU global leadership, the Global Methane Pledge a",2025-05-13,2021/0423(COD),Methane emissions reduction in the energy sector,0.9,,,,,,,commission
,procedure,14715c80-e079-4b3c-a7bf-9b9c8f306f1f,wrong,too_generic,"auto:Military mobility is mentioned as one of several topics in a general exchange, not a focused discussion on this INI procedure.",2026-05-04T07:26:32.958077+00:00,1,"Exchange of views. CER and Rails CEOs presented themselves and their activities Participants exchanged views on the following topics: - High-speed rail - Military mobility - Ticketing - Digital railways, in particular related to Digital Automatic Coupling (DAC) and European Railway Traffic Management System (ERTMS) Pa",2025-02-17,2025/2090(INI),Military mobility,0.9,,,,,,,commission
,procedure,488c777d-7735-42ec-90c0-dd9c373da8d8,correct,,auto:Pillar 2 framework discussion directly corresponds to the global minimum taxation directive.,2026-05-04T07:26:32.958077+00:00,1,Pillar 2 and the US position on international taxation. Insurance Europe mentioned the complexity of the Pillar 2 framework especially for the insurance sector and voiced concerns about the position of the US with respect to international taxation for the impact it may have on EU businesses in general and the long-term investment strategies of the insura,2025-05-19,2021/0433(CNS),Ensuring a global minimum level of taxation for multinational groups in the Union,0.9,,,,,,,commission
,procedure,93e77842-f0d7-4729-93f2-ca2c07d01b56,correct,,auto:Meeting on EU animal welfare legislation matches the resolution on the promised revision.,2026-05-04T07:26:32.958077+00:00,1,EU animal welfare legislation,2025-10-21,2024/2604(RSP),Promised revision of the EU animal welfare legislation and the animal welfare-related European citizens’ initiatives,0.9,,,,,,,lobbying
,procedure,7fa17c5a-0345-4821-bc74-a39b3e620c75,correct,,auto:Meeting explicitly discusses Green Claims Directive implementation.,2026-05-04T07:26:32.958077+00:00,1,"To discuss the topics related to circular economy, chemicals, implementation of Green Claims Directive,  CSR reporting and competitiveness",2023-11-17,2023/0085(COD),Substantiation and communication of explicit environmental claims (Green Claims Directive),0.9,,,,,,,commission
,procedure,e1048640-17e2-4b24-b133-cb7466870989,correct,,auto:Meeting explicitly discusses the Packaging and Packaging Waste Regulation.,2026-05-04T07:26:32.958077+00:00,1,"EUDR and Packaging Waste Regulation. The Mars representatives presented their business, sustainability work and planned investments in the EU. Discussions also focused on EUDR and the Packaging and Packaging Waste Regulation.",2025-09-12,2022/0396(COD),Packaging and packaging waste,0.9,,,,,,,commission
,procedure,0d7a5f39-3366-48ea-8c41-1899b9c2878e,correct,,auto:Meeting explicitly discusses Horizon and FP10 (the 2028-2034 framework programme).,2026-05-04T07:26:40.853984+00:00,1,"Ricerca e innovazione, Horizon e FP10",2025-02-19,2025/0544(CNS),"Establishing the Specific Programme implementing Horizon Europe - the Framework Programme for Research and Innovation for the period 2028-2034, laying down the rules for participation and dissemination under that Programme",0.9,,,,,,,lobbying
,procedure,48d744a0-6f13-4d39-b23d-e52cfba01ee1,correct,,auto:Meeting directly discusses the revision of the Package Travel Directive matching this proposal.,2026-05-04T07:26:40.853984+00:00,1,Discussion on the upcoming revision of the Package travel Directive.,2023-09-05,2023/0435(COD),Package travel and linked travel arrangements: make the protection of travellers more effective and simplify and clarify certain aspects,0.9,,,,,,,commission
,procedure,63cfe4d6-5284-4131-b1c8-ebfb62927818,wrong,too_generic,"auto:Meeting covers Green Deal broadly and Just Transition Mechanism, not specifically the Climate Law framework.",2026-05-04T07:26:40.853984+00:00,1,"EC green deal, climate target, Joint Transition Mechanism",2020-07-07,2020/0036(COD),Establishing the framework for achieving climate neutrality and amending Regulation (EU) 2018/1999 (European Climate Law),0.9,,,,,,,commission
,procedure,69ecfd47-c246-4ca7-a897-9b357bcdb09a,uncertain,,auto:Meeting touches on EU-China relations but mainly trade/economic security; unclear if it specifically discusses this INI report.,2026-05-04T07:26:40.853984+00:00,1,"matter: US and EU-China relations, trade agreements, economic security and trade defence measures, upcoming EU initiatives",2025-09-18,2023/2127(INI),EU-China relations,0.9,,,,,,,commission
,procedure,059dcd34-c989-487d-b8a8-9030500b7ab6,wrong,too_generic,"auto:Taxonomy is mentioned only as one of several topics in a broader housing discussion, not the specific focus.",2026-05-04T07:26:40.853984+00:00,1,"Housing. Exchange on the forthcoming Affordable Housing Plan. EFBS presented their position paper identifying areas they see for EU policy intervention. They highlighted State Aid, energy efficiency rules for buildings, the Taxonomy Regulation, innovative construction methods, and a coordinating function for",2025-06-03,2018/0178(COD),Establishment of a framework to facilitate sustainable investment,0.9,,,,,,,commission
,procedure,0c158cc0-f692-46e1-813a-bd98416c0f15,correct,,auto:CBAM is explicitly listed as a meeting topic matching the proposal.,2026-05-04T07:26:40.853984+00:00,1,"Carbon border adjustment mechanism, sustainable corporate governance and due diligence, sustainable finance",2021-04-29,2021/0214(COD),Carbon Border Adjustment Mechanism,0.9,,,,,,,commission
,procedure,29554a8a-8bce-4fc2-ba60-45b9f9dcbe36,correct,,auto:Military mobility is explicitly listed as a discussion priority.,2026-05-04T07:26:40.853984+00:00,1,"Priorities for EK and the Commission. - EVP Priorities
- Military Mobility
- Defence industry
- Support to Ukraine",2025-10-14,2025/2090(INI),Military mobility,0.9,,,,,,,commission
,procedure,c69b8369-5350-4867-a391-86a83440d0cf,correct,,auto:Meeting explicitly discusses AI Act compliance.,2026-05-04T07:26:40.853984+00:00,1,"Ethics in AI. - Nvidia reported on their efforts to ensure compliance with the AI Act.
- One of the difficulties encountered is compliance with the GDPR when trying to mitigate bias in model training.
- They mentioned cooperation with French start-up QuantPi in building tools to test models.
- They confirmed that",2025-02-05,2021/0106(COD),Artificial Intelligence Act,0.9,,,,,,,commission
,procedure,f147163c-d87b-48fb-8d7e-921c0050c90d,wrong,unrelated_topic,"auto:Meeting is about College of Europe operations, not the MFF 2028-2034.",2026-05-04T07:26:40.853984+00:00,1,"College of Europe Brugges. Exchange of views on: - Making College of Brugges even more inclusive (added value of national scholarships) and relevant to EU policies development. - Career development of alumni in EU and international organisations, as well as in private sector. - Training of diplomats in enlargement countries -",2025-03-25,2025/0571(APP),Laying down the multiannual financial framework for the years 2028 to 2034,0.9,,,,,,,commission
,procedure,4e9ad1ae-f782-4ba3-af65-75409a94ebce,correct,,auto:Right to repair of electronic devices directly corresponds to the repair of goods proposal.,2026-05-04T07:26:40.853984+00:00,1,"Circular economy transition, right to repair and refurbishing of electronic devices",2022-12-07,2023/0083(COD),Common rules promoting the repair of goods,0.9,,,,,,,commission
,procedure,ede3ad01-3d6b-41f8-bb0a-af6d23e2d85b,correct,,auto:Meeting title directly matches the terrorist content online regulation procedure.,2026-05-04T07:26:47.858657+00:00,0,Regulation on preventing the dissemination of terrorist content online,2019-09-26,2018/0331(COD),Preventing the dissemination of terrorist content online ,0.9,,,,,,,lobbying
,procedure,cad7a626-4897-4746-b328-1a24ed75dcd2,correct,,auto:Meeting explicitly discusses Digital Euro which is the subject of this procedure.,2026-05-04T07:26:47.858657+00:00,0,"Simplification, Digital Euro. BEUC representative expressed support towards simplification, while ensuring consumers protection remain. BEUC informed they have identified a need to address overlaps and redundancies across the EU acquis. Commission outlined the process underpinning the simplification agenda under the new mandate.",2025-01-24,2023/0212(COD),Establishment of the digital euro,0.9,,,,,,,commission
,procedure,2b42d6fb-686b-4fb3-840e-03c35a36d27e,correct,,auto:Meeting on EU-China relations matches the INI report on EU-China relations.,2026-05-04T07:26:47.858657+00:00,0,Business lunch & conversation on EU-China relations,2023-01-11,2023/2127(INI),EU-China relations,0.9,,,,,,,lobbying
,procedure,1a4c953f-cb61-479c-bcf9-78949022f4d6,wrong,wrong_version,"auto:Meeting discusses current fertiliser industry challenges, not the 2001 fertilisers regulation procedure.",2026-05-04T07:26:47.858657+00:00,0,"Challenges of the ammonia-based fertiliser industry and need of a sector-specific strategy.. The meeting took place at the request of Fertilizers Europe, following a letter sent to the President of the Commission. Fertilizers Europe set out the difficult situation faced by their members, where a significant part of European capacities is stopped. The industry is facing numerous permanent sh",2025-03-18,2001/0212(COD),Fertilisers,0.9,,,,,,,commission
,procedure,5c3a2499-cafb-443a-8b65-4bdec4b4cfe9,wrong,unrelated_topic,"auto:Meeting is about ETS and Circular Economy Act, not about public procurement.",2026-05-04T07:26:47.858657+00:00,0,"Exchange of views on the review of the EU Emissions Trading Scheme (ETS) and the upcoming Circular Economy Act (CEA). NG Nordic, which mainly treats industrial wastes, explained that the inclusion of Municipal Waste Incineration in the scope of the ETS could incentivize investments in waste recycling. NG Nordic also stressed the importance of the CEA for incentivizing demand for secondary raw materials, e.g. throug",2026-02-10,2024/2103(INI),Public procurement,0.9,,,,,,,commission
,procedure,fabafbc4-8336-4ba1-a118-104f3475c08c,correct,,auto:Meeting explicitly addresses the Water Resilience Strategy matching the INI procedure.,2026-05-04T07:26:47.858657+00:00,0,Water Resilience Strategy: water-related challenges and how to bring new innovations and skills onto the market. Consortium highlighted the following points: - Emphasis on the critical link between food production and water use; - Importance of soil in agriculture and its connection to water quality; - Coastal erosion and sediment mismanagement are under-addressed in WRS; - Advocated for a holistic food strate,2025-06-11,2024/2104(INI),The European Water Resilience Strategy,0.9,,,,,,,commission
,procedure,d66e7b76-43da-49e0-9be3-c671b09e4841,correct,,auto:Meeting on renewable heating in Fit for 55 aligns with the Renewable Energy Directive revision.,2026-05-04T07:26:47.858657+00:00,0,Riscaldamento rinnovabile nel Fit for 55,2021-12-13,2021/0218(COD),Renewable Energy Directive,0.9,,,,,,,lobbying
,procedure,d15d0332-25f0-473e-bc0a-1b3bda1e96fa,correct,,auto:Meeting explicitly about Digital Services Act matches the procedure.,2026-05-04T07:26:47.858657+00:00,0,Austausch zum Digital Services Act,2020-03-03,2020/0361(COD),Digital Services Act,0.9,,,,,,,lobbying
,procedure,e77c725d-8bb2-4765-bca4-2f60264ddeea,correct,,auto:Meeting directly addresses the New European Bauhaus initiative.,2026-05-04T07:26:47.858657+00:00,0,The New European Bauhaus. GIZ informed the Commission on relevant projects in Ukraine notably for setting up a hub of the New European Bauhaus (NEB) Academy in Ukraine. The hub would be established by a certain amount of partner organisations from UA.,2025-06-11,2021/2255(INI),The New European Bauhaus,0.9,,,,,,,commission
,procedure,df64f7dd-ee1b-450a-86b6-8601a345936f,wrong,too_generic,auto:Meeting is primarily about defence industrial programmes; European Competitiveness Fund is mentioned only incidentally.,2026-05-04T07:26:47.858657+00:00,0,"European Defence Industrial Programmes. - EU support to the defence industry with ongoing defence industrial programmes and the upcoming European Defence Industrial Programme.
- Funding for the defence sector in the next Multiannual Financial Framework. European Competitiveness Fund sets a new level of ambition for defence in the next MFF",2025-10-15,2025/0555(COD),European Competitiveness Fund,0.9,,,,,,,commission
,procedure,3a635984-29e9-41a8-9954-c5218a773605,correct,,auto:Meeting explicitly discusses the critical medicines act alongside the pharma package.,2026-05-04T07:26:57.003221+00:00,0,"Competitiveness of the pharma industry. The IFPMA roundtable had overall discussion on the future of the pharmaceutical sector, in light of the ongoing negotiations related to the pharma package and the critical medicines act. Participants also highlighted the need for better taking the EU-US relations into account. Commissioner took note",2025-11-04,2025/0102(COD),Critical Medicines Act,0.9,,,,,,,commission
,procedure,aa223c32-c1d2-461d-b46e-38250efaafc4,wrong,too_generic,auto:Generic Green Deal/just transition discussion does not specifically address the European Climate Law procedure.,2026-05-04T07:26:57.003221+00:00,0,"Just transition, Green Deal",2019-12-03,2020/0036(COD),Establishing the framework for achieving climate neutrality and amending Regulation (EU) 2018/1999 (European Climate Law),0.9,,,,,,,lobbying
,procedure,a37b0706-47e9-4848-aed0-97588c988fcb,wrong,unrelated_topic,"auto:Meeting focuses on Omnibus 1 (CSRD/ESRS), not the Packaging and Packaging Waste Regulation.",2026-05-04T07:26:57.003221+00:00,0,"Omnibus. Representatives from Mars presented their company, which has 24 factories across 10 EU Member States. They outlined their position on the Omnibus 1 proposal, with a focus notably on CSRD and the revision of the European Sustainability Reporting Standards. They also presented their position on the Pa",2025-07-16,2022/0396(COD),Packaging and packaging waste,0.9,,,,,,,commission
,procedure,ba7531c1-6efc-4549-8a69-0c4b948f960f,correct,,auto:Meeting agenda explicitly lists the 28th Regime.,2026-05-04T07:26:57.003221+00:00,0,"•	SIU
•	28th Regime
•	SIA",2025-09-25,2025/2079(INL),The 28th Regime: a new legal framework for innovative companies,0.9,,,,,,,commission
,procedure,288e0ad6-7d49-4301-8220-807ac04127da,wrong,unrelated_topic,"auto:Discussion is about Retail Investment Strategy and FIDA, not the older retail investor protection file (though procedure 2023/0167 is RIS - actually correct).",2026-05-04T07:26:57.003221+00:00,0,"Exchange of views with Planète CSCA. - Retail investment strategy - The importance of limiting additional administrative burden - The need for additional measures for facilitating greater retail investor participation
- FIDA - The sensitive nature of insurance data - Creating an appropriate framework for the governance of proprietary d",2025-02-03,2023/0167(COD),Retail investor protection rules,0.9,,,,,,,commission
,procedure,796f6f4a-441d-4c01-b139-fe2bff95ff91,correct,,auto:Meeting explicitly mentions Digital Services Act.,2026-05-04T07:26:57.003221+00:00,0,Digital Services Act and EMFA,2022-09-07,2020/0361(COD),Digital Services Act,0.9,,,,,,,commission
,procedure,72aea2bf-a983-43ca-89bf-7000508b8c61,wrong,too_generic,"auto:Meeting is a generic EU-US discussion on health/animal welfare, not specifically about the INI report on EU-US relations.",2026-05-04T07:26:57.003221+00:00,0,"Health and animal welfare – EU-US relations. Following their invitation, the Commissioner held exchange of views with the US Chamber of Commerce in Washington. The discussion touched upon the challenges and opportunities for the EU-US relations on health, animal welfare and food safety policies. The US Chamber of Commerce outlined the main pri",2025-02-28,2023/2126(INI),EU-US relations,0.9,,,,,,,commission
,procedure,ed24bcf6-29a4-41a9-ad80-5ef07d425480,correct,,"auto:Meeting discusses Chips Act implementation and Chips Act 2.0, directly related to the procedure.",2026-05-04T07:26:57.003221+00:00,0,"Exchange of views on the Commission’s implementation of the Chips Act and work on Chips Act “2.0”.. - Exchange of views regarding the semiconductor industry and forecast
- Exchange of views on the Chips Act (2.0) and related efforts by the Commission.",2025-05-20,2022/0032(COD),Chips Act,0.9,,,,,,,commission
,procedure,b3474992-fc7b-45b0-bcf4-582bd1fb7f65,wrong,too_generic,"auto:Meeting is primarily about the upcoming Circular Economy Act, with PPWR only mentioned as part of broader context.",2026-05-04T07:26:57.003221+00:00,0,"Circular Economy Act. The company presented proposals for the Circular economy Act especially steel packaging as highly recyclable material. Commissioner presented an overview of the Commission’s political priorities, notably the forthcoming Circular Economy Action Plan and Packaging and Packaging Waste Regulation (PPWR)",2025-11-11,2022/0396(COD),Packaging and packaging waste,0.9,,,,,,,commission
,procedure,97feeaa1-0bcc-4695-a7d3-5510a50aff5e,uncertain,,auto:Meeting references the Clean Industrial Deal generally but focuses on a specific company project; unclear if it engages the RSP procedure specifically.,2026-05-04T07:26:57.003221+00:00,0,"Exchange on steps to support early movers in the clean industrial deal. - Presentation of Neste as a leading producer of sustainable aviation fuel and renewable diesel and a frontrunner in renewable raw materials for chemicals.
- Discussion on the construction project of the world’s largest biorefinery in the port of Rotterdam expected to be completed in 2027.
- Discuss",2025-05-19,2025/2656(RSP),Clean Industrial Deal,0.9,,,,,,,commission
,procedure,bcd9dc80-7b6f-4d46-a49e-0af22c726815,correct,,auto:Meeting explicitly discusses Clean Industrial Deal.,2026-05-04T07:27:03.235524+00:00,0,"Meeting with Copenhagen Infrastructure Partners about the Clean Industrial Deal, notably in connection with offshore wind farms.. Discussion on Clean Industrial Deal and the Action Plan for Affordable Energy with a focus on offshore wind farms and how ensuring continuous deployment of renewables and infrastructure.",2025-04-11,2025/2656(RSP),Clean Industrial Deal,0.9,,,,,,,commission
,procedure,a11d6352-aeb0-42e3-8cf1-580d042e9487,wrong,wrong_version,auto:2003 plant protection procedure is outdated; meeting is about current glyphosate renewal and PPP legislation.,2026-05-04T07:27:03.235524+00:00,0,Plant protection products legislation & glyphosate renewal,2023-01-30,2003/0178(CNS),Plant protection,0.9,,,,,,,lobbying
,procedure,d81a3f03-383d-4d82-a482-3a4a026c937a,wrong,too_generic,"auto:Meeting topic is broadly digital/tech sovereignty, not specifically the INI report on technological sovereignty and digital infrastructure.",2026-05-04T07:27:03.235524+00:00,0,"Digital fairness, tech sovereignty and competitiveness and data economy",2024-10-02,2025/2007(INI),European technological sovereignty and digital infrastructure,0.9,,,,,,,lobbying
,procedure,baaf970e-a5fb-4c05-8030-70c9dca65b9c,correct,,auto:Meeting explicitly names the Digital Networks Act.,2026-05-04T07:27:03.235524+00:00,0,Digital Networks Act; review of telecoms regulation,2025-11-04,2026/0013(COD),Digital Networks Act,0.9,,,,,,,lobbying
,procedure,6e7a5e60-1204-42f0-9e6f-49236ba394bb,correct,,auto:Meeting explicitly mentions Digital Services Act.,2026-05-04T07:27:03.235524+00:00,0,Introduction association; artificial intelligence & data strategy; digital services act,2020-01-28,2020/0361(COD),Digital Services Act,0.9,,,,,,,commission
,procedure,cf9d3415-3de2-4462-8d0a-e81c33f11edd,correct,,auto:Meeting explicitly references EU Chips Act.,2026-05-04T07:27:03.235524+00:00,0,Technological sovereignty and EU Chips Act,2022-09-05,2022/0032(COD),Chips Act,0.9,,,,,,,commission
,procedure,5b6a3c7b-a9e7-4bd5-95d2-ef52d9e1d4c4,correct,,"auto:Meeting explicitly addresses WFD and EPR for textiles, matching this specific file.",2026-05-04T07:27:03.235524+00:00,0,"Exchange of views on the social economy entity roles in supporting circular economy business models and EU environmental policies, with particular reference to: - Waste Framework Directive (WFD) and extended producer responsibility (EPR) for textiles, - Ecodesign for Sustainable Product Regulation (ESPR), - Circular Economy Act. - Social Economy Entities play a key role in supporting waste prevention and circularity, in particular for textiles, waste electronic and electric equipment, and furniture.
- The key role of Social Economy Entities is recognised in the WFD establishing EPR for textiles.
- Eco-modulation of EPR fees",2025-04-23,2023/0234(COD),Waste Framework Directive: textiles and food waste,0.9,,,,,,,commission
