organisation,transparency_reg_id,source_type,preproposal_meetings_total,preproposal_meetings_commission,preproposal_meetings_ep,article_type,article_number,article_title,similarity_score,provision_effect,label,reasoning,n_chunks,conflict
BEUC - The European Consumer Organisation,9505781573-45,hys_feedback,4,4,0,article,4,Review of the status of gatekeepers,0.854478,"Establishes a mechanism for the Commission to review, amend, or repeal gatekeeper designations, and requires regular reviews at least every 2 years to assess whether gatekeepers continue to meet designation criteria.",ALIGNED,"BEUC explicitly advocates for a 'blacklist' (list of gatekeepers/obligations) accompanied by a procedure to update it following new market developments, emphasising legal certainty and immediate market effect. Article 4 directly establishes the review and update mechanism for gatekeeper designations and the published list, which corresponds to BEUC's specific ask for a regularly updated list that reflects new market developments.",1,False
BEUC - The European Consumer Organisation,9505781573-45,hys_feedback,4,4,0,article,7,Compliance with obligations for gatekeepers,0.873209,"Establishes a compliance framework requiring gatekeepers to implement effective measures for obligations under Articles 5 and 6, with Commission powers to specify measures if compliance is insufficient, and procedural timelines for doing so.",ALIGNED,"BEUC explicitly advocates for ex-ante regulation of gatekeepers with ""strong, effective, timely and consistent rules and enforcement,"" including ""comprehensive, enforceable"" obligations. Article 7 directly delivers on this by establishing a concrete enforcement and compliance mechanism — requiring effective implementation of gatekeeper obligations and empowering the Commission to specify measures and set procedural timelines — which aligns with BEUC's call for effective and timely enforcement of obligations on large online platforms acting as gatekeepers.",1,False
BEUC - The European Consumer Organisation,9505781573-45,hys_feedback,4,4,0,article,9,Exemption for overriding reasons of public interest,0.864934,"Establishes a mechanism by which the Commission may exempt a gatekeeper, in whole or in part, from specific obligations under Articles 5 and 6 on grounds of public morality, public health, or public security, including the possibility of provisional suspension of obligations.",NOISE,"BEUC's position focuses on advocating for a strong ex-ante regulatory framework with a 'blacklist' of obligations/prohibitions for gatekeepers and does not express any specific stance on exemption mechanisms or grounds for suspending obligations. The org text contains no directional advocacy position regarding exemptions from gatekeeper obligations, making it impossible to assess alignment or opposition with this specific provision.",1,False
Booking.com International B.V.,146537115285-34,hys_feedback,4,3,1,article,10,Updating obligations for gatekeepers,0.863223,Empowers the Commission to adopt delegated acts to update gatekeeper obligations under Articles 5 and 6 based on market investigations identifying new unfair or contestability-limiting practices.,UNDETECTABLE,"Booking.com advocates for a narrow gatekeeper designation limited to platforms in non-contestable markets, with DG Competition as the sole designating authority, and raises concerns about the criteria used to define gatekeepers and the conduct to be regulated. Article 10 establishes a mechanism for the Commission to expand gatekeeper obligations via delegated acts based on market investigations — touching on contestability and unfairness criteria that Booking.com discusses. However, while Booking.com's position is broadly skeptical of over-broad regulation and favors stricter criteria, it is genuinely unclear whether this specific updating mechanism satisfies, contradicts, or ignores their advocacy: the provision does reference contestability as a criterion (which aligns with Booking.com's framing), but the broader enforcement architecture (Commission-led, not DG Competition-sole authority) and the expansive delegated power could equally be seen as contrary to their position.",1,False
Booking.com International B.V.,146537115285-34,hys_feedback,4,3,1,article,11,Anti-circumvention,0.863167,"Requires gatekeepers to ensure full and effective compliance with Articles 5 and 6 obligations, prohibiting circumvention through any contractual, commercial, or technical behaviour, and preventing degradation of services for users exercising their rights.",NOISE,"The organisation's text focuses exclusively on advocating for specific cumulative criteria to define which platforms qualify as gatekeepers (market size, user dependency, and ability to expand market power). It does not express any position on anti-circumvention mechanisms, compliance obligations, or the degradation of services — the subjects of Article 11. The org's position is therefore unrelated to what this provision establishes.",1,False
Booking.com International B.V.,146537115285-34,hys_feedback,4,3,1,article,12,Obligation to inform about concentrations,0.851671,"Requires gatekeepers to notify the Commission of any intended concentration involving another provider of core platform services or digital sector services, regardless of whether it meets merger notification thresholds.",NOISE,The org's position focuses on the criteria for designating gatekeepers and which authority (DG Competition vs. NCAs) should have jurisdiction over gatekeeper designation and obligations — it does not express any specific stance on merger/concentration notification obligations for gatekeepers. There is no substantive advocacy position in the org text that relates to the concentration reporting mechanism established in Article 12.,1,False
Booking.com International B.V.,146537115285-34,hys_feedback,4,3,1,article,15,Market investigation for designating gatekeepers,0.878189,"Establishes a market investigation procedure for the Commission to designate providers of core platform services as gatekeepers, including timelines and conditions for applying obligations to providers not yet entrenched.",UNDETECTABLE,"Booking.com advocates that gatekeeper designation should be limited to platforms that will remain gatekeepers for the foreseeable future and that DG Competition should be the sole designating authority. The provision establishes a Commission-led market investigation procedure for gatekeeper designation, which partially aligns with the idea of a centralised Commission role, but also includes provisions for designating platforms not yet entrenched (Article 15(4)), which runs counter to Booking.com's position that only platforms that ""will remain"" gatekeepers should be covered. The connection is real but the direction is genuinely ambiguous — the provision both partially satisfies and partially contradicts the org's stated position.",2,False
Booking.com International B.V.,146537115285-34,hys_feedback,4,3,1,article,16,Market investigation into systematic non-compliance,0.870812,"Establishes a mechanism for the Commission to impose behavioural or structural remedies on gatekeepers found to have systematically infringed obligations under Articles 5 and 6, defined as at least three non-compliance or fining decisions within five years.",UNDETECTABLE,"Booking.com advocates for a narrowly constructed gatekeeper regulation focused on enforcement efficiencies and recurring harmful practices, and explicitly states that remedies should apply ex nunc with no retroactive fines. Article 16 establishes a systematic non-compliance mechanism with structural and behavioural remedies, which partially aligns with the org's acceptance of a targeted gatekeeper regulation, but it is genuinely unclear whether the provision's specific threshold (three decisions in five years) and remedy scope satisfy or contradict Booking.com's call for a ""very narrow"" and targeted instrument — the connection is real but the direction of alignment is ambiguous.",1,False
Booking.com International B.V.,146537115285-34,hys_feedback,4,3,1,article,19,Requests for information,0.842068,"Establishes the Commission's power to request information, access to databases and algorithms from undertakings by simple request or decision, including prior to opening formal investigations.",NOISE,"The organisation's position focuses on proportionality of remedies, burden of proof, limits on the New Competition Tool (NCT), and judicial review of Commission decisions — not on information-gathering powers. The provision deals specifically with the Commission's investigative information request powers, which is a distinct subject not addressed in the org's submission. There is no substantive advocacy position in the org text that relates to this provision's subject matter.",1,False
Booking.com International B.V.,146537115285-34,hys_feedback,4,3,1,article,25,Non-compliance,0.848131,"Establishes the procedure for the Commission to adopt non-compliance decisions against gatekeepers who fail to meet obligations, including ordering them to cease and desist and provide compliance plans.",UNDETECTABLE,"Booking.com advocates for a narrowly constructed gatekeeper regulation focused on enforcement efficiencies, with remedies applying ex nunc and no retroactive fines. Article 25 establishes the non-compliance decision mechanism but does not explicitly address retroactivity of fines or the scope of the regulation's obligations — those are governed elsewhere. There is a real connection (the org's procedural concerns about enforcement relate to this enforcement mechanism), but it is genuinely unclear whether this provision satisfies, contradicts, or ignores the org's specific asks about ex nunc application and no retroactive fines.",1,False
Booking.com International B.V.,146537115285-34,hys_feedback,4,3,1,article,3,Designation of gatekeepers,0.872956,"Establishes the criteria and thresholds for designating providers of core platform services as gatekeepers, including quantitative presumptions based on turnover, market capitalisation, active users, and qualitative factors such as entrenchment and gateway function.",ALIGNED,"Booking.com explicitly advocates for three cumulative criteria for gatekeeper designation — significant internal market impact, sway over a significant share of users who primarily single-home, and ability/incentive to expand market power — which closely mirrors the three cumulative criteria in Article 3(1): significant impact on the internal market, serving as an important gateway for business users to reach end users, and an entrenched and durable position. The provision directly implements the kind of multi-criteria, cumulative gatekeeper designation framework the organisation proposed, acting in the same direction as its specific advocacy.",2,False
Booking.com International B.V.,146537115285-34,hys_feedback,4,3,1,article,4,Review of the status of gatekeepers,0.85431,"Establishes a mechanism for the Commission to review, amend, or repeal gatekeeper designations upon request or on its own initiative, and mandates regular reviews at least every two years to assess whether gatekeepers continue to meet designation requirements.",ALIGNED,"Booking.com explicitly advocates that prohibitions imposed by the Commission should be time-limited and that the Commission should be obligated to re-assess them if market conditions have changed. Article 4 directly responds to this by establishing a formal review mechanism — both on request and periodically (at least every 2 years) — allowing gatekeeper designations and their associated obligations to be reconsidered when facts change, which aligns with the org's specific ask for reassessment obligations tied to changing market conditions.",1,False
Booking.com International B.V.,146537115285-34,hys_feedback,4,3,1,article,5,Obligations for gatekeepers,0.867994,"Establishes specific behavioural obligations for gatekeepers, including prohibitions on combining personal data without consent, restrictions on tying practices, and requirements to allow business users to operate freely across platforms.",NOISE,"The organisation's text focuses exclusively on advocating for a specific definition/criteria for identifying which platforms qualify as gatekeepers (three cumulative criteria related to market size, user dependency, and expansion ability), not on what obligations should be imposed on gatekeepers once identified. The provision, by contrast, establishes concrete behavioural obligations for already-identified gatekeepers. There is no substantive advocacy position in the org text regarding the specific obligations listed in Article 5.",1,False
Booking.com International B.V.,146537115285-34,hys_feedback,4,3,1,article,8,Suspension,0.8713,"Establishes a mechanism allowing the Commission to suspend, on a gatekeeper's reasoned request, specific obligations under Articles 5 and 6 where compliance would endanger the gatekeeper's economic viability due to exceptional circumstances beyond its control.",NOISE,"The organisation's text focuses exclusively on advocating for specific cumulative criteria to define which platforms qualify as gatekeepers, with no mention of suspension mechanisms or economic viability exemptions. There is no substantive advocacy position in the org text that relates to the suspension procedure established by Article 8.",1,False
COMMUNIA association,003277719548-45,hys_feedback,0,0,0,article,23,Commitments,0.856319,"Establishes a commitment mechanism whereby gatekeepers may offer binding commitments to ensure compliance with obligations, and allows the Commission to reopen proceedings if circumstances change or commitments are breached.",NOISE,"The organisation's text expresses a general welcome for the Commission's regulatory initiative and argues that large platforms act as ""fundamental rights gatekeepers"" affecting privacy, data protection, and freedom of expression — but it takes no specific stance on the commitment mechanism established in Article 23. There is no directional advocacy position regarding whether or how gatekeepers should be able to offer binding commitments to avoid further proceedings.",1,False
COMMUNIA association,003277719548-45,hys_feedback,0,0,0,article,38,Review,0.868674,Requires the Commission to periodically evaluate the Regulation and consider whether additional rules or legislative proposals are needed to ensure contestable and fair digital markets.,NOISE,"The organisation's text is a general welcome of the Commission's initiative and a broad framing of gatekeeper platforms as ""fundamental rights gatekeepers,"" without expressing any specific advocacy position on the review/evaluation mechanism established in Article 38. There is no directional stance on periodic reviews, their frequency, scope, or follow-up measures that could be evaluated against this provision.",1,False
COMMUNIA association,003277719548-45,hys_feedback,0,0,0,article,4,Review of the status of gatekeepers,0.855882,"Establishes a mechanism for the Commission to review, amend, or repeal gatekeeper designations, and requires regular biennial reviews of whether designated gatekeepers continue to meet the criteria in Article 3.",NOISE,"The organisation's text expresses general support for the Commission's initiative to regulate large online platforms as gatekeepers and broadens the framing to include fundamental rights concerns, but it does not take any specific stance on the review or re-designation mechanism established in Article 4. The position contains no directional advocacy regarding how or when gatekeeper status should be reviewed, amended, or repealed.",1,False
COMMUNIA association,003277719548-45,hys_feedback,0,0,0,article,9,Exemption for overriding reasons of public interest,0.865868,"Establishes a mechanism allowing the Commission to exempt gatekeepers from specific obligations under Articles 5 and 6 on grounds of public morality, public health, or public security.",NOISE,"The organisation's text expresses a general concern that large online platforms act as ""fundamental rights gatekeepers"" affecting privacy, data protection, and freedom of expression, but does not take any specific advocacy position on exemption mechanisms or the grounds for exempting gatekeepers from obligations. The text is a broad framing statement welcoming the Commission's initiative without directional advocacy on this specific provision.",1,False
Center for Data Innovation,,hys_feedback,0,0,0,article,1,Subject-matter and scope,0.871009,"Establishes the subject matter and scope of the Digital Markets Act, applying harmonised rules to ensure contestable and fair markets where gatekeepers are present, covering core platform services provided to users in the Union.",NOISE,"The org text is largely descriptive background material — it quotes and summarises the Commission's own roadmap and intentions regarding ex-ante gatekeeper rules, without expressing a specific directional advocacy position of its own (e.g., supporting, opposing, or proposing modifications to the scope or subject matter). There is no specific stance that can be evaluated against what the provision establishes.",1,False
Center for Data Innovation,,hys_feedback,0,0,0,article,10,Updating obligations for gatekeepers,0.863379,Empowers the Commission to adopt delegated acts to update gatekeeper obligations based on market investigations identifying new unfair or contestability-limiting practices.,NOISE,"The org text is largely composed of footnotes and background descriptions of the Commission's existing plans and proposals (e.g., quoting Commission roadmaps and referencing legislative initiatives), with no specific directional advocacy position on whether the Commission should or should not have delegated powers to update gatekeeper obligations. There is no substantive stance expressed for or against the updating mechanism established in Article 10.",1,False
Center for Data Innovation,,hys_feedback,0,0,0,article,12,Obligation to inform about concentrations,0.849661,"Requires gatekeepers to notify the Commission of any intended concentration involving providers of core platform services or digital sector services, including details on turnover, active users, and rationale, regardless of whether it meets standard merger notification thresholds.",NOISE,"The organisation's text is purely introductory and administrative — it describes who the Center for Data Innovation is and what it does, without expressing any specific advocacy position on merger notification obligations or concentration reporting requirements for gatekeepers. There is no directional stance that can be evaluated against this provision.",1,False
Center for Data Innovation,,hys_feedback,0,0,0,article,15,Market investigation for designating gatekeepers,0.873344,"Establishes a market investigation procedure for the Commission to designate providers of core platform services as gatekeepers, including timelines for preliminary findings and final decisions, and provisions for early-stage gatekeepers.",NOISE,"The org text provides background context on the Commission's gatekeeper proposal and expresses a general skepticism about the assumption that large platforms harm consumers and businesses, but does not take a specific directional stance on the market investigation procedure, its timelines, or the designation mechanism established in Article 15. The org's position is a broad critique of the regulatory rationale rather than a specific advocacy position on the investigation and designation process itself.",1,False
Center for Data Innovation,,hys_feedback,0,0,0,article,17,Market investigation into new services and new practices,0.856397,"Establishes a mechanism for the Commission to conduct market investigations to add new services to the list of core platform services or detect new unfair/anti-contestability practices, with a report due within 24 months and potential follow-up legislative or delegated acts.",NOISE,"The org text is purely background/contextual description of the EU policy landscape around digital platforms and competition law — it contains no specific advocacy position for or against market investigation mechanisms, ex-ante rules, or the expansion of core platform service lists. There is no directional stance that can be evaluated against this provision.",1,False
Center for Data Innovation,,hys_feedback,0,0,0,article,2,Definitions,0.86103,"Defines key terms used throughout the regulation, including 'gatekeeper', 'core platform service', 'data', 'business user', and others.",NOISE,"The org text is an introductory/administrative passage that describes the Center for Data Innovation's identity and general purpose, with no specific advocacy position on any of the definitions established in Article 2. It contains no directional stance on how any term should or should not be defined.",2,False
Center for Data Innovation,,hys_feedback,0,0,0,article,32,Digital Markets Advisory Committee,0.843032,"Establishes the Digital Markets Advisory Committee to assist the Commission, including procedures for written opinions and public communication of committee opinions alongside individual decisions.",NOISE,"The organisation's text is largely background description of EU digital market policy debates and regulatory trends, with no specific advocacy position on the creation or functioning of an advisory committee. There is no directional stance expressed regarding the Digital Markets Advisory Committee or any comparable institutional mechanism.",1,False
Center for Data Innovation,,hys_feedback,0,0,0,article,5,Obligations for gatekeepers,0.87056,"Establishes specific behavioural obligations for gatekeepers, including restrictions on combining personal data, requirements to allow business users to offer services on third-party platforms, and transparency obligations for advertising services.",OPPOSING,"The organisation explicitly argues against the premise of ex-ante regulation targeting large platforms, contending that the Commission's assumption that large platforms harm consumers and businesses is unfounded and that such regulation is detrimental to innovation. Article 5 directly instantiates the very ex-ante obligations (data combination restrictions, self-preferencing prohibitions, interoperability/access requirements) that the organisation opposes as a regulatory mechanism.",1,False
Center for Data Innovation,,hys_feedback,0,0,0,article,7,Compliance with obligations for gatekeepers,0.878607,"Establishes a compliance framework requiring gatekeepers to implement effective measures for obligations under Articles 5 and 6, and empowers the Commission to specify measures if compliance is found to be insufficient.",OPPOSING,"The org's position fundamentally challenges the premise of ex-ante gatekeeper regulation, arguing that large platforms do not harm EU businesses and consumers and questioning the need for such a regulatory mechanism. Article 7 operationalises and enforces exactly the kind of ex-ante obligations the org argues should not exist, making the org's stance directly opposed to the provision's establishment of a compliance and enforcement framework for gatekeepers.",1,False
Center for Data Innovation,,hys_feedback,0,0,0,article,8,Suspension,0.875313,Establishes a mechanism allowing gatekeepers to request suspension of specific obligations under Articles 5 and 6 where compliance would endanger their economic viability due to exceptional circumstances beyond their control.,NOISE,"The org's text is largely background description of the Commission's proposal and a general critique that ex-ante regulation assumes large platforms harm consumers and businesses, without expressing any specific advocacy position on suspension mechanisms or viability exemptions. There is no directional stance on whether such a suspension clause should or should not exist, making it impossible to evaluate alignment with this specific provision.",2,False
Center for Data Innovation,,hys_feedback,0,0,0,article,9,Exemption for overriding reasons of public interest,0.875372,"Establishes an exemption mechanism allowing the Commission to relieve gatekeepers from specific obligations under Articles 5 and 6 on grounds of public morality, public health, or public security, including provisional suspension of obligations pending a full decision.",NOISE,"The organisation's text is largely background description and footnotes referencing Commission documents about the Digital Markets Act framework, with no specific advocacy position on exemptions or public interest carve-outs for gatekeepers. There is no directional stance expressed regarding whether such an exemption mechanism should or should not exist, making it impossible to evaluate alignment with the provision.",2,False
Civil Liberties Union for Europe,544892227334-39,hys_feedback,0,0,0,article,23,Commitments,0.856603,"Establishes a commitments mechanism whereby gatekeepers can offer binding commitments to ensure compliance with their obligations, and the Commission may reopen proceedings if circumstances change or commitments are breached.",NOISE,"The organisation's text expresses a general welcome for the Commission's regulatory initiative and argues that large platforms act as ""fundamental rights gatekeepers"" affecting privacy, data protection, and freedom of expression — but it takes no specific stance on whether a commitments mechanism should or should not exist, nor on how such a mechanism should be designed. The org's position is too general and thematic to constitute a specific advocacy position that can be evaluated against this provision.",1,False
Civil Liberties Union for Europe,544892227334-39,hys_feedback,0,0,0,article,30,Right to be heard and access to the file,0.841041,"Establishes procedural rights for gatekeepers and undertakings to be heard, submit observations, access the Commission's file, and have their rights of defence respected before the Commission adopts certain decisions.",NOISE,"The organisation's text expresses a general welcome for the Commission's regulatory initiative and argues that large online platforms act as ""fundamental rights gatekeepers"" affecting privacy, data protection, and freedom of expression — it does not take any specific position on procedural rights of defence, access to file, or the right to be heard in Commission proceedings. The org's advocacy is entirely unrelated to the subject matter of Article 30.",1,False
Civil Liberties Union for Europe,544892227334-39,hys_feedback,0,0,0,article,38,Review,0.86738,Requires the Commission to periodically evaluate the Regulation and consider whether additional rules or legislative proposals are needed to ensure contestable and fair digital markets.,NOISE,"The organisation's text is a general welcome of the Commission's initiative and a broad framing of large platforms as ""fundamental rights gatekeepers,"" without expressing any specific advocacy position on periodic review mechanisms or evaluation clauses. There is no directional stance on whether or how the Regulation should be reviewed that could be evaluated against this provision.",1,False
